number,네이버 장점,네이버 단점,카카오 장점,카카오 단점,라인 장점,라인 단점,쿠팡 장점,쿠팡 단점,배민 장점,배민 단점,페이스북 장점,페이스북 단점,아마존 장점,아마존 단점,애플 장점,애플 단점,넷플릭스 장점,넷플릭스 단점,구글 장점,구글 단점
1,"유명한 대기업이라는 점
세련된 사옥
나쁘지 않은 복지
다양한 점심 메뉴","매우 수직적이고 탑다운인 문화.
유저에 대한 고민 없이 손만 빠르면 됨.
시안 치는 기계. 어떠한 전략도 기획도 end picture도 없음.
다들 바빠서 질문에 달갑지 않아함. 히스토리 관리가 엉망이라 파악이 어려우니 묻는 건데도 알아서 파악하길 원함.
윗연차나 사수에게 메신저가 오면 즉각 답해야하지만 나의 질문은 언제 회신이 올지 모름.
매우 경직된 분위기. 서로 돕는 분위기 없음. 각자 자기가 맡은 일만 진행함.
점점 주체적인 생각을 못하고 바보가 되어가는 느낌을 받아서 오래 있으면 안된다는 생각이 듦.",유연근무제로 원하는 시간에 일하고 원하는 시간에 쉴 수 있다,회사의 수익구조의 불안정성 특히 광고에 비중이 커 광고 시장 상황에 수익이 크게 좌우된다,"출장대우
나쁘지 않은 연봉
워리밸 및 복지
대기업화 하려는 시스템","성장성
느린 조직
구 경영진
일하지 않는 월급루팡들","조직마다 다르겠지만 분석팀 내 분위기는 서로 의지하고 도움을 줄 수 있는 분위기에 전체적으로 수평적인 문화와 최근 재택으로 인해 워라밸 또한 알아서 챙길 수 있음. 그 워라밸 내에서, 그리고 업무적으로 본인이 욕심을 가진다면 언제든지 발전하여 나아갈 수 있는 환경을 만들어 낼 수 있음",다만 탑다운으로 업무가 떨어질 때가 있는데 이 때 왜 그러는지에 대한 내용은 잘 모르는 경우가 있어서 조금 더 소통이 필요한 부분은 있음,"월요일 1시출근 나머지 요일 30분 일찍 퇴근해서 주35시간
1분만 넘어도 칼같이 챙겨주는 야근비
복지비200만원 도서지원비 재택용품구매비 재택지원비 등등 실질적으로 도움이 많이 되는 복지들
좋은 사람들 다른회사 대비 상대적으로 꼰대가 없다
사이닝보너스(연봉의 20%) 입사자전원지급

전반적으로 좋은회사입니다 인사부서나 임원진이 이정도로 커뮤니케이션에 대한 액션을 취하는 회사가 정말 드물어요 제가 다녔던 회사들하고 비교하면 전회사들 부끄러울정도였음
단점없는 회사없겠지만 장점이 훨씬 많고 단점도 어필하면 충분히 개선해줄 회사입니다","업무적으로 얄짤없음 당연한거지만 그만큼 스트레스도..
업무량도 많은편
커뮤니케이션이나 협업을 어려워하고 사람 싫어하는 개인주의적 성격이라면 안맞을것같음","네임 밸류
탄탄한 글로벌 네트워크
유능한 동료
사내 문화","인재 적체
철저함 미국 중심 의사 결정
불투명한 미래 산업","네임 베류, 배울게 많은데 이유는 매번 바뀌는게 많아서 새로 배워야되는데 많아요.",타부서랑 협업은 꿈도 꾸지 않는게 좋아요. 회사는 돈을 아무리 많이 벌어도 직원한테는 인색한 회사.,워라밸 좋고 급여가 좋습니다. 타이틀이 좋아서 주변 사람에게 자랑하기 좋아요.,"무언가를 배워간다고 생각하시면 안됩니다.
포트폴리오 안쌓여요",내가 조절하면 가능한 워라벨. 하지만 모든 것은 나의 책임. 내가 잘해낼 수 있다면 문제없음. 업계 최고에서 일한다는 자부심.,본 받을 수 있는 사수의 부재. 일 잘하는 사람들이 모였어도 리더십이 약해 발전이 힘듬,"회사 이름이 갖는 네임 밸류
다른 직장 대비 인성, 능력 모두 평타 이상인 동료
아침 점심과 커피를 제공해줘서 나갈 필요가 없다","인원이 늘어나며 정치질하거나 능력이 부족하거나, 인품이 떨어지는 사람이 늘어나고 있음"
2,뛰어난 인재가 많음. 그래서 인사이트를 많이 얻을 수 있음.,난 뛰어나지 않음. 성장을 위해 정망 많은 노력이 필요함,"복지, 구내식당 사옥…?
복지 포인트가 좋아요
그리고 싸게 호텔 놀러간 것도 좋았어요","잦은 조직 개편이 있고
경영진이 요즘 사회에서 시끄럽습니다
약간 탑다운…","일단 재택의 장점이 큼
정말 나오라는 강요 분위기 없음
(물론 팀바팀)","일본회사화 되어 모든 결정이 답답하게 이루어짐
이젠 라인야후라고 불림",재택근무가 많아서 출퇴근 시간 걱정이 없다. 쿠팡이츠 쿠폰 줌,변화가 많다. 직원들 이동이 잦고 업무강도가 낮지 않다.,"주당 근로시간, 재택 보장 등 파격적인 조건으로 근무조건은 아주 우수하고, 비포괄임금제로 야근수당이 짭짤함",비포괄이라 다들 넋놓고 야근하는 문화에 호떡 뒤집는 경영진과 인사조직의 수준이 매우 별로임,"개발자를 위한 커리어에서 추가적인 인터뷰 없이 팀을 옮길 수 있고, 그런 문화를 장려하는 것은 추후에도 큰 도움이됨.
다른 FAANG과 비교하더라도 내부/오픈 소스를 공부하는 것만으로도 무긍무진함.","개발자가 아니면 무슨 짓을 하더라도 second class citizen임.
영어를 못하면 아무리 뛰어난 개발자라도 한계가 있음.
사람 사는 곳 다 비슷하겠지만, 위로 올라갈수록 정치질이 심함.",클라우드 기술 트렌드를 쫓아갈 수 있는 것. 경쟁적인 문화 속에서 성장하는 자신. 훌륭한 동료들. 자유로운 근무환경. 진취적인 문화,경쟁적인 문화가 숨이 막히고 힘에 부침. 돈이 곧 복지이나 업무강도 대비 많이 주는 것인지 모르겠음. 셀프서비스 문화는 팀 컨트리뷰션이라는 핑계로 회사가 taking advantege한다는 생각이 든다.,워라벨이 보장돠어 있고 자유로운 휴가 웰빙 및 자기계발을 생각해주는 회사 네임드 있는회사 동료들의 다양한 백그라운드로 배울점도 있는 회사,경력 쌓기 애매한 회사 생각한거에 비해 그냥 저냥 그런점 식대가 적다는 점,"높은 연봉
자유로운 분위기
열정적인 동료
근무 환경",정해진 업무시간 외에도 수시로 업무 대응이 필요할 수 있음,같이 일하는 동료와 회사가 지향하는 문화는 한국 회사 중 제일 좋은 것 같다,피어프레셔가 심함. 아무도 시키지 않았는데 모두가 너무 열심히 달려 나도 어쩔수 없이 달려야하는 상황.
3,"빅테크 네임밸류
신사옥
복지
하루세끼 제공","사옥 위치
다소 개인적이고 경직된 분위기
워라밸 박살","복지와 사람들의 인성이 좋습니다.
내부 사람들은 불평도 있지만 객관적으로 나쁘지 않다고
생각함","벤처도 대기업도 아닌 애매한 사업 스타일
책임지지 않고 떠넘기기식 의사결정이 많아

열심히 일하는 사람이 힘들 수 있음","많이 배우고 성장할 수 있는곳
보상 복지 모두 만족스러움","야후와 합병되며 전혀 새로운 조직으로 변화중
아직 과도기","배울 점이 많은 회사
유능한 동료가 많은 회사
성장하는 회사","빠른 변화에 따른 업무 과중
표준 프로세스가 RnR 없음","성장의 욕심이 있다면 다 할 수 있는 회사
개방적인 문화, 좋은 인력","높이 올라가면 힘들 것 같은게 단점
명확한 메뉴얼/시스템의 부재","워라벨이 보장되는 회사
좋은 동료들과 일할 수 있는 환경",빠르게 변하는 사내 문화 및 업계에 익숙해져야한다는 점,급여가 높은 편이고 엄청 똑똑한 사람들과 일해 배울점이 많습니다. 외국계 치곤 체계적인 편인데 회사 시스템에 대해서도 배울 점이 많습니다. 이직 기회가 많습니다.,팀마다 다르지만 경쟁이 심하고 업무 강도가 높습니다. 항상 잘릴 위험이 도사리고 있습니다. 오래 근무하긴 좀 어렵습니다.,"어느회사든 마찬가지지만 사람 잘만나면 그점에 좋고,
본인이 성장할 의지가 있으면 어떻게해서든 성장할 수 있음",모든게 다 성과로 결과로 보여지고 움직이는 회사이기때문에 본인 하기에 달림,"배울 점 많은 동료들
일을 잘 할 환경을 위한 사내 문화
우수한 복지","회사 덩치는 큰데 체계가 은근 약하다
빡셈
가면 증후군","서로 신뢰하고 존중하려는 문화
fun한 요소들이 많이 묻어있는 문화
워라밸을 유연하게 가져갈수 있는 자유가 있는 문화
물론 여기도 불만이 있지만 그래도 밖에 있는 회사들에 비하면 정말 천국같은 회사",현재는 불황때문인지 내부 잡포스팅이 많이 열리지 않는 점이 가장 힘든점입니다
4,연봉높고 워라밸 괜찮고 복지 괜찮고 사옥 새거고 풀재택 가능이고 출근하면 밥 세끼 다주고 뭐 빠지는게 있나?,솔직히 없음 평가가 좀 빡세다는거? 큰 욕심없으면 이마저도 단점이라보기 어려움,올해들어 업무강도가 점점 세지는 느낌.이지만 그래도 워라벨은 챙길 수 있음,"복지가 하향하고 있음 연봉인상도
경영진들에 대한 불신이 점점 커짐","풀재택
해외 재택
좋은 개발 문화
적당히 좋은 급여
자잘한 복지","최근 합병으로 인한 불편함
국내 인지도
일본어로만 된 사내 공지들",자유로운 재택근무와 수평적 조직문화가 잘 정착된 점이 좋음,신규 입사 시 인수인계 등 온보딩 절차가 다소 부족하며 적응까지 시간 오래걸림,"부서 별 차이는 있겠지만 워크와 라이프의 밸런스가 깨지는 느낌은 없습니다.

대체로 좋은 사람들이 모여있는 느낌을 받습니다.",특별히 생각나는 단점은 없어요. 굳이 뽑자면 위치가 잠실이라 거주지가 서울 외 인원에겐 접근성이 떨어질 수 있습니다.,"사내 복지는 경영난으로 조금 줄어들었지만 그래도 아직 탑클래스

career growth는 양날의 검. 결국 본인이 길을 개척 할 수 있냐 없냐의 싸움.","보너스가 너무 주가 및 회사 실적과 밀접해서 기대만큼 안나올때가 있음

메타버스는 아직도 의문",확실히 넥스트가 아직까지는 보장되어 있어 보인다 동료들도 훌륭하고,요새 한국화가 되어가서 정치질이 조금씩 늘어가는 추세임,"자유로운 분위기. 연차사용시 눈치 볼 필요가
없어서 좋음","스케쥴근무상 삶의리듬 깨짐, 생각보다 적은 연봉","이 회사는 자유로운 분위기와 정보 공유에 대한 엄청난 열정을 가진 특별한 회사입니다. 회사 문화도 독특하며, OTT 업계에서 비할 바 없는 전망을 가지고 있다고 느껴집니다. 또한, 이 회사에는 열정적이고 똑똑한 사람들이 많이 있습니다.","비즈니스적으로 말하자면, 이 회사는 때로는 목소리가 큰 사람이 대화를 주도하며, 익숙하지 않은 경우 피드백 압박을 느낄 수 있습니다. 매일 목표를 추구하며 열심히 일하시는 분들에게는 이 회사가 맞지 않을 수도 있지만, 혼자서 작업하는 데 능숙하고 업무에 능숙하다면 꿈같은 회사가 될 수도 있습니다.","좋은 동료들이 많음
할 의지만 있다면 할 수 있는게 많음","가끔 비용 아끼는거 보면 현타옴
좋은 말만 주고받는 문화"
5,"거의 모든 영역에서 선도적 플레이어, 글로벌 진출까지 성공한 탄탄한 회사","확장과정에서 일관되지 않은 조직문화와 내로남불
일관된 정책같은건 기대하기 어려움

경력이 길어질수록 연봉상승률과 경력개발기회에 한계 느낌",사람들이 너무 좋다. 잘하고 인성 좋은 동료들이 많다.,"경영진의 전문성이 부족, 방향성이 자주 바뀐다. 정부에게 너무 뚜드려 맞는다. 공기업인줄","회사에서 큰 불만을 갖기 어려운 구조.
외부에서 듣던대로 좋은 회사임",재택이 기본 베이스기떼문에 사내 구성원과 친해지는 난이도가 높음,풀재택하는 게 가장 큰 메리트가 있음 상사는 있지만 님으로 부르기 때문에 큰 부담 없음,대기업 치곤 월급이 정말 너무 적음 아무리 계약직이라도 최저시급이 말이 되나,"32시간 근무제,분단위 추가근무수당
부바부지만 일이 적은 편은 아니긴하나 일많은 시간을 지나고 나면 32시간 근무의 꿀맛을 느낄 수 있음
평일에 4시 퇴근이나 하루근무시간을 다 채워도 5시퇴근할 수 있다는게 넘 좋음
월요일 1시 출근도 좋아요",의사결정이 자주 바뀐다. 이로 인한 업무 부하가 있다. 독일 본사의 간섭,사람들이 대체적으로 친절하고 흔히 말하는 빌런 없는 회사,회사 사정이 전반적으로 불안하다. 특히 한국 지사에 대해선 더욱 그런 것 같은 느낌,"급여가 높고 네임벨류가 높아 향후 이직 좋다

사람들이 대단하다고 본다","실제로는 성장 둔화된 기업
낮은 인상률
생각없는 매니징","업무에 비해 괜찮은 급여지만
더 벌어야 할것같은 급여
사람좋아요.
복지 아주 만족.","인터뷰만 잘하면 승진
깊은 사내정치가 필요한데 난 그런걸 잘 못함
싸가지없는애들 간혹있음","사무실이 좋음.
음식도 좋고 일단 출근하면 필요한게 다 있어서 나갈 필요가 없음.
부모님이 좋아하심.
일만 다 하면 출근을 어디서 언제 하든 상관 없고 별 일정 없다면 당일 휴가도 가능한 회사.
데이터가 방대함.","초기 멤버들이 갑자기 다 위로 올라가버려서 굉장히 어중띠고 어설프게 헤드 역할을 하고 있음.
저 사람은 어떻게 인터뷰를 통과했지 싶은 사람들이 간혹 있고, 그 사람때문에 주변이 고통받지만 그런 사람들이 잘 짤리지도 않음. 그래서 결국 고통받는 주변인들이 나가버림.
룰 없는게 좋은게 아님. 컬쳐라는 애매한 것으로 사람들을 압박하고 계속해서 선택은 너가하는거라지만 강요를 함.
출장비나 경상비 사용에도 차라리 가이드라인이라도 만들어 주지 그것도 없으면서 눈치보라고 돌려 얘기함. 다같이 줄여보자가 아니라 헤드들이 우리는 쓰는데 니들은 줄여 식 내로남불이 있음.","회사 타이틀을 포함해, 인재풀이나 복지나 처우나 전반적으로 훌륭하다고 생각합니다.",비개발 직군의 경우 이 다음 어떤 커리어로 나아가야할지 애매한 부분이 있습니다.
6,"따지고보면 여러 분야에서 1등은 아닌데 2-3등은 하는 올라운더 느낌
연봉, 복지, 워라밸, 네임밸류 등 대부분이 업계 상위권
그 중 풀재택근무는 라인과 함께 업계 독보적 1위",경쟁이 좀 빡센편? 뛰어난 동료들이 많아서 항상 좋은 고과 받기는 쉽지않음 부담감도 있는편,"복지가 좋아요
유연근무제가 있어 좋습니다
퇴근이 자유로워 좋아요","경영진의 운영이…가끔씩 소란스럽네요
급진적인 커리어 향상을 원하시면 다른 곳으로","전반적으로 사내문화가 좋고
재택으로 개인 터치가 별로 없음",임원진들의 사업의 방향성에 대한 비전이 잘 안느껴지는 부분이 아쉬움,"진리의 부바부겠지만 풀재택 굿
가끔 회사 나가는것도 나쁘지 않음
성과 빚어내서 잘 나오면 행복함","근데 매 분기 매 년 말도안되는 목표를 부여하는 건 좀...
이래서 성장하나 싶기도 함
업무 자유도가 높은데신 그만큼 개인의 책임도 강함
조금만 힘빠지면 금방 도태되는 분위기에 강한 프레셔는 본인의 몫","연봉과 복지가 우수함
주 32시간, 비포괄임금제는 한국에서 찾기힘든 조합
자유롭고 일하기좋은문화","5년정도 다님
코로나시국때 매우 좋은 성장을 타고 꽃길만 걸을줄 알았느나 정부에서 때리고 여론에서 때리는 바람에 임직원의 고생에 비해 득은 많이 못봤다고 생각함. dh에 매각되면서 기존 임원들이 약간 교체되고 dh의 사업들이 잘 안되면서 한국지사까지 예산압박 등을 받는 모양새..
현황만 유지해도 매우 좋은회사이지만, 완전 좋았던 시기를 경험한 나로서는 약간 아쉬움",사내문화가 좋고 워라벨이 보장됨. 개방적인 문화. 복지가 좋음,커리어 향상이 좀 어려움. 리더십이 너무 동 떨어지고 책임을 안 짐.,숨만쉬어도 배울게 많다. 십수년을 일했는데 여기서의 2년이 더 많이배우고 즐거웠다,결국은 벤더임. 경기가 어려워지니 한국식 회사로 가려는 모습이 보인다,"스케쥴 잘 짜면 워라밸 지키기 좋다
직원의 건강을 우선시해주는 병가 제도
어디서든 알아주는 회사 이름
수평적 구조 , 긍정적 피드백 문화
맡는 업무, 경험 대비 좋은 급여
현금성 복지
타 회사 대비 자유로운 업무 환경과 분위기","직원이 많아지니 도는 뒷말도 많음
어쩔 수 없이 한국적 분위기가 보임
계속 새로운 혁신을 찾아야하는 부담감","연봉
엄청난 복지 (출퇴근 택시비 지원, 난자냉동 지원 등)
재택 가능, 출퇴근시간 없는 등 플렉서블한 근무 환경
조식 중식 제공, 편의점을 옮겨놓은 스낵바","무능력한 리더십
초창기 멤버들이 컬쳐를 무기로 꼰대짓 심함
피드백을 중요시 하면서 좋은 피드백만 받고 싶어함
피플 매니징보단 사내 정치질에 관심 많은 몇 리더들이 물을 다 흐리고 있고 이를 알면서 묵인하는 리더십 팀
그냥 조금 선진화된 한국 회사라고 생각하고 들어오세요","연봉, 친절하고 똑똑한 사람들, 해외 오피스로 트랜스퍼 기회","불안한 고용, 줄어가는 복지, 기술 트렌드와 멀어지는 느낌"
7,신의 직장까지는 아니지만 업계에서 이만한 회사가 없는건 사실임. 전면 재택근무를 계속 유지하는 것만으로도 다닐만한 가치가 있음,연봉협상 시즌마다 잡음이 있는데 개선할 의지가 없어보임 꼬우면 나가라는걸로 보일 정도,"워라밸좋고 다양한 업무 경험 가능
동료들이 뛰어난 사람이 많음","뛰어난 동료들이 점점떠남
경영진리스크 매우큼 소통하지않음
고인물조직장 다수 포진해있어서 신기함",주변에 개발을 잘하는 사람도 많고 회사 지원도 많규 개발자에게 좋음 회사임.,"개발, ux, ui 제외하고 나머지 직군은 별로인것 같음.","비교적 자유로운 연차사용, 연장이나 야근은 거의 없고 재택이 가능",실적압박이 심하고 체계적인듯 아닌듯한 업무 메뉴얼 로 인한 스트레스.,"여전히 새롭게 시도해야하는 일들이 많고, 이 일들을 통해 개인적 차원으로도 회사 차원으로도 큰 성과를 얻어내고 성장할 수 있는 기회들이 있다.","경영진들의 (때때로 지나치게) 빠른 의사결정이 종종 비효율을 만들어내는 경우들이 있다. 문제의 원인을 엉뚱한 곳에서 찾고, 잘못된 원인 분석을 통해 과제가 만들어지는 경우들이 있다.","팀바팀 사바사 이지만
대체로 다른 잡일 없이 할일에만 집중할 수 있게 해줌",적어도 내가 일하는 영역 안에서는 크게 문제가 되는 부분은 없었던것 같음,"뛰어난 동료들, 실패에 두려워하지 않는 실험정신, 거객을
지향하고 길게보는 시야","깔대기 대고 줄타기하며 숫자 주워먹는 리더들, 한국 대기업 물들어가는 분위기와 문화, 점점 사일로화 돠어가는
정보공유","워라밸 보장
팀원간 분위기가 좋음
욕심 안부리면 안정적으로 꾸준히 일 할수있음","체력 필요
모든 서비스직이 다 그렇겠지만 감정소모가 큼","오피스 (건물, 전망, 위치, 화장실)
무료 편의점이 들어와있는 느낌
법인카드 사용, 출퇴근 시간, 업무 방식 정말 자유에 맡김 (하지만 그만큼 책임이 따른다)
외국에서 인정받는 한국팀
큰 프로젝트 할 기회가 많고 배울기회도 많고
정해진 연차 없음","인맥이 중요
적응하는데 오래걸림
 정해진 연차, 출퇴근 시간 없음","수평적인 문화와 똑똑한 동료들, 맛있는 아침과 점심의 제공",주도적으로 일을 잘 찾을 수 있어야한다는 것? 어딜가도 이상한 사람은 있다는 것
8,"재택이 가능하다는 점, 자유롭게 출퇴근 하다는 점, 사내 복지가 괜찮고 복지비가 있어 마음만 먹으면 월급 전액 저축 가능",경제가 나빠졌다 하여 경영진들이 긴축을 심하게 하려는 경향이 있음,복지가 좋고 어시스턴트여서 그런지 일이 많지 않아 좋았음,"커리어 쌓고싶거나 일 배우고싶운 사람에게는 비추
시간낭비한 느낌","훌륭한 동료들, 매우 좋은 복지, 급여/처우 가 있어서 남들에게 추천하는 편.",합병 후에 점점 일본회사가 되어가는 중. IT 스러움이 점점 사라지는 느낌,"생각했던것보단
만족하고 다니고잇습니다.
재택의 매리트가 큰것같습니다.","계약직이라..단점은 아직
단점이 보이거든 후기를 또 남기겠습니다.",함께 일하는 분들이 거의 더 스마트하고 젠틀하고 좋습니다,개인의 성장은 없고 반복업무의 일상입니다 미래가 불투명합니다,자기 일 잘하면 터치 없음. Compensation이 만족 스럽고 하는 일이 재밌음. 같이 일하는 사람들이 정말 똑똑함.,쉬운 레이오프때문에 멘탈 갈림. 아무도 일을 안시키는데 기대치를 맞추려고 밤낮 일하게 됨.,"일한만큼 돈으로 보상받음.
주변에 능력자들이 많음( 가준점이 높아 나도 덩달아 성장하게됨)
근무환경이 자유로움(출/퇴근 터치안함,대신 일만 잘하면 됨)","셀프서비스(각자 알아서 해야함, 선배/후배 끌어쥬고 밀어주고 없음, 하지만 도움을 요청하면 도와줌)","리테일이기 때문에 일에 대한 큰 어려움이 없음
반복적인 업무
휴가를 자율적으로 사용 할 수 있음(눈치보지 않고 장기휴가 가능)","사람이 제일 힘듦
고객응대를 온종일 하는것도 힘들지만 팀원,리더십 관계를 항상 잘 유지해야하는게 힘든 것 같음","우수한 처우와 보상
잘 구비되어 있는 스낵바
일 잘하고 똑똑한 동료
핫한 기업","미성숙한 리더십 (본받을 리더가 한국에는 거의 없음)
내부에서 성장할 기회 제한적","자유로운 근무시간 관리, 아쉽지만 그래도 타기업에 비해 만족할만한 보상",다음레벨로 가기위해 다른나라의 리더들에게 보여지기 위한 뭔가가 필요하다는 정치적인 플레이 존재
9,재택근무가 가능하고 회사 구내식당 등 복지가 다양한 편임,"부서마다 다른 분위기, 연봉협상 및 인센티브 지급 시기가 늘 늦음","점심 식당 밥이 싸다
커피가 싸다
유연하게 출퇴근 가능하다","저녁 밥은 비싸다
뭔가 제한이 많아지고 있다
풀출근이다","칼퇴하고 서로 연차에 대한 눈치를 주지않아서 편함.
일이 빡세지않음.",사람들은 좋으나 다들 의욕이 엄청나진 않아서 몸만 편하고 커리어가 쌓이진 않음,"재택은 분명한 장점 계절, 지옥철, 여성일 경우 준비시간 고려하면 시간 세이브 되는 거도 무시 못 함",은근히 주먹구구식 리더쉽정신을 핑계로 직원을 나몰라라한다는 인상을 받음 재택이 아니면 하지 않을 성과제와 연봉,"사내문화가 건강하고 긍정적, 급여 및 복지 최상","지나친 마이크로매니징, 전문성 부족, 배민다움으로 버티는 사람 다수","업계에서 보상 수준은 탑, 자율적인 업무 환경, 나이스한 동료","커리어 성장은 업무 영역과 구조적인 문제로 제한적, 리더십 능력 편차 매우 심함",CSP 1위 회사이다보니 인지도가 좋고 일할 때 자연스레 동기부여가 됨,간혹 이렇게 일하는 게 맞는 건가? 하는 의문이 들고 자기반성을 하게됨. 스스로 답과 의미를 찾아가야 함,"애플
복지 (기기 직원할인 교육비 운동비 지원 등)
다양한 업무
겉으로는 친절하고 내부정치 잘하는 직원","무능하고 강압적인 리더십 (장기근속하신 분들중 승진하신 분은 능력자인 듯)
내부 정치 소문 많은 회사
왕따/가스라이팅 by 승진못한 고인물들
승진 기회 없음- 여러분 상사는 외부에서 데리고 올 것
워라밸 없음
수평적 조직문화는 홍보용
아이디어 도둑 빈번함","고급 점심 제공
꽤나 괜찮은 연봉 패키지
훌륭한 업무 환경","고인물들이 먼저 왔다는 이유로 컬처꼰대짓하고 있고
리더쉽 엉망 진창인데 한국 콘텐츠가 핫하단 이유로
글로벌 리더들이 모르고 그냥 넘어가는 상황","한국에 국한되지 않고 일을 할 수 있음
미국 회사와 문화 경험할 수 있음
한국 사무실 동료들도 친절하고 평균 이상 역량 보유
서로 공유와 가르침에 인색하지 않음","미국 중심이라 어느 정도 제약이 있음
생각보다 top down 문화가 강함
1월 layoff 이후로는 문화가 많이 경직되고 냉소적이 된 부분 있음"
10,"풀 재택 근무 가능 (2023년 기준)
전 직군에 걸쳐 실력있는 동료들이 많음
기본 이상의 퀄리티 있는 결과물
업계 내에서 괜찮은 수준의 급여와 복지","TO 자체가 너무 적어서 들어가기가 어려움
생각보다 더 삭막하고 경직된 사내 분위기
팀바팀이겠지만 대체로 좋은 팀웍을 기대하긴 어려운듯",워라벨이 좋은 회사 수평적인 회사 의견제시가 비교적 자유롭다,"책임도 수평적으로 진다. 리더는 책임을지지 않고 도망가기 일쑤

네임에 비해 페이가 높지는 않다. 끼리끼리 문화가 강함","능력이 좋은 동료들
재택근무
오픈 디스커션
리즈너블한 CEO","극악의 온보딩
회의가 많음
파편화된 플랫폼
이상한 합병과정","똑똑한 동료들과 일하고 있다는 걸 느낌
자신의 분야에서 뚜렷한 성장을 이룰 수 있음","생각보다 후려쳐진 연봉(들어오기 전 잘 알아보세요)
일을 너무 많이해서 개인적 발전은 힘듦","비포괄
주 32시간
재택근무 (내년부터 재택/오프라인 혼합)
열심히 일하고 배려심 많은 동료들","DH 리스크
전략이 없는 경영진
워라밸 나쁨 (주 32시간이지만 실제 근무시간 훨씬 김)","이름만큼이나 좋은 회사문화
자유로운 출퇴근과 워라밸
아침점심제공",팀바팀이겠지만 팀 크기가 각각 달라 업무방식 조금 다름,"급여, 분위기, 직원들 간의 업무 문화
1위 기업에서 일한다는 자부심","일부 경영진의 한국식 사고방식, 소통
주말도, 저녁도 없는 삶","네임밸류와 회사제품할인
애플다닌다고 했을때 사람들의 호의적인 반응","모든것이 과하게 복잡합니다
일을 튀기고 튀기고 튀겨서 일부러 복집하게 만든 것 같습니다. 하지만 명확한 가이드라인도 없습니다. 추천하지 않습니다","자유로운 업무환경, 사람을 압박하지 않아서 좋음. 타의에 의해서가 아닌 자의에 의해서 자극을 받고, 열심히 일 할 수 있는 회사라는 점은 높게 살만 함. 주변에 똑똑한 사람들이 많아 도움 받을 수 있음.","리더들이 우유부단하고, 경험이 부족해 보임. 팀 및 피플 매니징해본 리더가 많이 없어서 팀의 방향성이 부족함. 컬처가 중요하다고 하는데, 리더 본인이 필요할때만 컬처를 운운하며 무기로 사용함. 정작 회사 내에 일어나고 있는 여러가지 일들을 보면 ‘넷플릭스 컬처’ 라는 것은 없어보임. 피드백 문화도 강조하는 것 중에 하나인데, 실상 피드백을 주고 나면 추후 팔로우업이 부족함.","워라밸
기업문화
퍼포먼스 잘 나온다면 compensation 도 굳","퍼포먼스에 대한 압박
보여주기식 일하는 방식
성장 가능성"
